%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
3364842000000,327831,3364842000000,world,-2.44957796594,0.202260195359,1.91441769073,-0.000629874621324,-0.00316257962726,0.365893707605,-0.930651060324
3364852000000,327832,3364852000000,world,-2.44838189985,0.201130909901,1.91441764558,-0.000653906902076,-0.00322955323809,0.365535825978,-0.930791438679
3364862000000,327833,3364862000000,world,-2.44718098229,0.199998655722,1.91441760155,-0.000670609515329,-0.00327806027991,0.365177851247,-0.930931759885
3364872000000,327834,3364872000000,world,-2.44597508799,0.198863324155,1.9144175574,-0.000680806944595,-0.00331016454921,0.364819782096,-0.931072019719
3364882000000,327835,3364882000000,world,-2.44476536019,0.197725979866,1.91441753359,-0.00066477471833,-0.00327544605343,0.364461657344,-0.93121239782
3364893000000,327836,3364892000000,world,-2.44355483554,0.196589430456,1.91441758021,-0.000573651859466,-0.00304884868029,0.364103607473,-0.931353283384
3364902000000,327837,3364902000000,world,-2.44233949052,0.195449959512,1.91441762186,-0.000479413831614,-0.00281409911597,0.363745538687,-0.931493979634
3364912000000,327838,3364912000000,world,-2.4411187948,0.194307087427,1.91441764411,-0.000396718732154,-0.00260870244722,0.363387391084,-0.931634392499
3364922000000,327839,3364922000000,world,-2.43989328975,0.193161323278,1.91441765362,-0.000321856829679,-0.00242318448296,0.363029170347,-0.931774568263
3364932000000,327840,3364932000000,world,-2.43866335861,0.192013029124,1.91441765491,-0.000253216534206,-0.00225342027286,0.36267087019,-0.931914533578
3364942000000,327841,3364942000000,world,-2.43742928155,0.190862471499,1.91441765063,-0.000190479328754,-0.00209859811858,0.362312489272,-0.932054300844
3364952000000,327842,3364952000000,world,-2.43619131667,0.189709896053,1.91441764298,-0.000133312358435,-0.0019578722676,0.361954023595,-0.932193882069
3364962000000,327843,3364962000000,world,-2.43494970429,0.188555531609,1.91441763379,-8.13181977363e-05,-0.00183023213183,0.361595471492,-0.932333287314
3364972000000,327844,3364972000000,world,-2.43370466394,0.187399587331,1.9144176246,-3.41114518272e-05,-0.00171469821053,0.361236831009,-0.93247252537
3364982000000,327845,3364982000000,world,-2.43245971265,0.186245273802,1.91441765696,6.25739598863e-05,-0.00147108683541,0.360878115493,-0.932611825867
3364992000000,327846,3364992000000,world,-2.43122331472,0.185100283402,1.91441780896,0.000338956550089,-0.000762395316051,0.36051956171,-0.932751279542
3365002000000,327847,3365002000000,world,-2.42998494905,0.183955033011,1.91441793005,0.000606994473234,-7.42195104397e-05,0.360161295813,-0.932889847221
3365012000000,327848,3365012000000,world,-2.42874344029,0.182808465545,1.9144180047,0.000830466537651,0.000499588736151,0.359803176752,-0.933027724527
3365022000000,327849,3365022000000,world,-2.42750041746,0.181662070184,1.91441804985,0.00102134719678,0.000989879576464,0.359445189357,-0.933165115527
3365032000000,327850,3365032000000,world,-2.42625701346,0.180516881597,1.91441807515,0.00118567215936,0.00141219797042,0.359087275156,-0.933302163664
3365042000000,327851,3365042000000,world,-2.42501402897,0.179373630873,1.91441808569,0.00132581144826,0.00177259858899,0.358729411051,-0.933438969492
3365052000000,327852,3365052000000,world,-2.42377215983,0.178232952195,1.91441808451,0.00144398662904,0.00207675318968,0.358371561042,-0.933575613561
3365062000000,327853,3365062000000,world,-2.42253201542,0.177095399756,1.9144180734,0.00154242635736,0.00233035867368,0.358013700039,-0.933712151005
3365072000000,327854,3365072000000,world,-2.42129411622,0.175961445737,1.91441805323,0.00162318457734,0.00253866566988,0.35765580315,-0.933848620988
3365082000000,327855,3365082000000,world,-2.42005878512,0.174831383294,1.91441802429,0.00168627692371,0.00270160756391,0.357297859922,-0.933985062558
3365092000000,327856,3365092000000,world,-2.41882609753,0.173705282772,1.91441798688,0.00172892648889,0.00281180852295,0.356939870219,-0.93412153042
3365102000000,327857,3365102000000,world,-2.41759672881,0.172583750675,1.91441794111,0.0017591800636,0.00289019961863,0.356581792056,-0.934257982361
3365112000000,327858,3365112000000,world,-2.41637097077,0.171467047892,1.91441788688,0.00177976178001,0.00294382645679,0.356223613676,-0.934394404624
3365122000000,327859,3365122000000,world,-2.41514896495,0.170355299841,1.91441782419,0.00179161444979,0.00297508065675,0.355865331373,-0.934530794003
3365132000000,327860,3365132000000,world,-2.4139308234,0.169248604838,1.91441775314,0.00179576201079,0.0029865720074,0.355506942675,-0.934667143606
3365143000000,327861,3365142000000,world,-2.41271662862,0.168147034096,1.91441767404,0.00179324355319,0.00298095740323,0.355148445413,-0.934803444523
3365151000000,327862,3365152000000,world,-2.41150643059,0.167050629207,1.91441758727,0.00178500115737,0.00296064664491,0.354789838474,-0.934939687283
3365158000000,327863,3365162000000,world,-2.4103002505,0.165959405667,1.91441749345,0.00177188129915,0.00292780547818,0.354431121323,-0.9350758625
3365172000000,327864,3365172000000,world,-2.409098085,0.164873356683,1.91441739322,0.00175464753045,0.00288438836087,0.35407229391,-0.935211961109
